doc_ref,headline,body_text,division_name,filed_on,doc_kind,source_uri
D001,Q1 Digital Access update,"Digital Access Labs piloted tablet lending for youth participants. Learning: clear onboarding scripts reduce support calls. Topic: digital literacy. Issue: metadata inconsistency in intake forms.",Education,2020-02-14,report,local://sample/D001
D002,Archive sprint planning,"Community Archive Sprint reviewed legacy folders and found filing delays. Learning: shared naming conventions improve retrieval. Topic: archive standards. Issue: filing delay.",Community,2020-03-02,memo,local://sample/D002
D003,Green venues baseline,"Green Venues Program measured energy use across halls. Learning: meter visibility improves compliance. Topic: sustainability operations. Issue: limited baseline data.",Arts,2020-03-18,report,local://sample/D003
D004,Youth outreach kickoff,"Youth Outreach Loop launched weekend outreach in three precincts. Learning: co-designed activities increase attendance. Topic: youth participation. Issue: low attendance in weekday slots.",Community,2020-04-05,filing,local://sample/D004
D005,Accessibility checklist trial,"Accessibility First Charter tested captioning and ramp audits. Learning: early vendor checks prevent rework. Topic: accessibility planning. Issue: vendor readiness gaps.",Arts,2020-05-11,memo,local://sample/D005
D006,Artist upskilling module 1,"Artist Upskilling Track delivered training on digital production tools. Learning: peer mentors accelerate adoption. Topic: capability development. Issue: uneven baseline skills.",Arts,2020-06-24,report,local://sample/D006
D007,Digital access school cluster,"Digital Access Labs expanded to two school clusters with shared loan inventory. Learning: weekly inventory reconciliations reduce loss. Topic: digital literacy. Issue: device tracking gaps.",Education,2021-01-09,report,local://sample/D007
D008,Archive sprint review,"Community Archive Sprint implemented metadata templates for submissions. Learning: required fields reduce ambiguity. Topic: records governance. Issue: missing document type tags.",Community,2021-02-20,report,local://sample/D008
D009,Green venues procurement,"Green Venues Program introduced green procurement clauses. Learning: contract language changes vendor behavior. Topic: sustainable procurement. Issue: supplier compliance lag.",Arts,2021-03-12,memo,local://sample/D009
D010,Youth ambassador cohort,"Youth Outreach Loop formed ambassador cohort in libraries. Learning: ambassador-led sessions improve retention. Topic: youth participation. Issue: volunteer scheduling conflicts.",Education,2021-04-07,report,local://sample/D010
D011,Accessibility documentation refresh,"Accessibility First Charter updated event filing templates. Learning: plain-language guidance improves completion rates. Topic: inclusive documentation. Issue: incomplete source links.",Community,2021-05-29,filing,local://sample/D011
D012,Upskilling advanced labs,"Artist Upskilling Track ran advanced labs on audio production. Learning: small cohorts yield higher completion. Topic: capability development. Issue: room booking constraints.",Arts,2021-06-17,report,local://sample/D012
D013,Cross-division digital clinic,"Digital Access Labs partnered with Community teams for evening clinics. Learning: shared facilitators boost turnout. Topic: digital literacy. Issue: transport barriers.",Community,2022-01-15,report,local://sample/D013
D014,Archive sprint and accessibility,"Community Archive Sprint aligned with Accessibility First Charter for caption standards. Learning: synchronized reviews reduce duplicate work. Topic: archive standards. Issue: conflicting template versions.",Community,2022-02-10,memo,local://sample/D014
D015,Green venues and youth events,"Green Venues Program piloted low-waste youth showcases. Learning: reusable sets reduce costs over time. Topic: event sustainability. Issue: supplier lead times.",Arts,2022-03-03,report,local://sample/D015
D016,Youth outreach in schools,"Youth Outreach Loop integrated school clubs with arts workshops. Learning: partner teacher champions sustain participation. Topic: youth participation. Issue: communication lag across schools.",Education,2022-04-21,filing,local://sample/D016
D017,Accessibility venue audit,"Accessibility First Charter completed venue walk-through audits. Learning: pre-event checks catch wayfinding issues. Topic: venue accessibility. Issue: inconsistent signage.",Arts,2022-05-14,report,local://sample/D017
D018,Upskilling and digital labs,"Artist Upskilling Track collaborated with Digital Access Labs on editing bootcamps. Learning: blended curriculum improves confidence. Topic: digital production. Issue: equipment contention.",Education,2022-06-30,memo,local://sample/D018
D019,Digital access rural outreach,"Digital Access Labs tested mobile pop-up stations for underserved blocks. Learning: shorter sessions increase completion. Topic: digital inclusion. Issue: intermittent connectivity.",Community,2023-01-08,report,local://sample/D019
D020,Archive quality checkpoint,"Community Archive Sprint introduced quarterly quality checkpoints. Learning: peer review catches metadata drift early. Topic: records governance. Issue: reviewer capacity.",Community,2023-02-19,report,local://sample/D020
D021,Green venues phase 2,"Green Venues Program added HVAC tuning and waste audits. Learning: baseline dashboards enable faster decisions. Topic: sustainability operations. Issue: fragmented data sources.",Arts,2023-03-27,report,local://sample/D021
D022,Youth outreach digital campaigns,"Youth Outreach Loop used short-form digital campaigns. Learning: channel-specific messaging raises click-through. Topic: youth communications. Issue: content bottlenecks.",Education,2023-04-13,memo,local://sample/D022
D023,Accessibility compliance sprint,"Accessibility First Charter ran a compliance sprint for filings. Learning: checklist automation reduces omissions. Topic: inclusive documentation. Issue: deadline clustering.",Community,2023-05-20,filing,local://sample/D023
D024,Upskilling trainer toolkit,"Artist Upskilling Track published trainer toolkit for divisions. Learning: shared rubrics improve coaching consistency. Topic: capability development. Issue: version control gaps.",Arts,2023-06-09,report,local://sample/D024
D025,Digital access retention study,"Digital Access Labs analyzed participant retention across cohorts. Learning: reminder cadence improves return rates. Topic: digital literacy. Issue: stale contact records.",Education,2024-01-16,report,local://sample/D025
D026,Archive handover protocol,"Community Archive Sprint documented handover protocol between teams. Learning: ownership mapping reduces dropped tasks. Topic: archive standards. Issue: unclear role boundaries.",Community,2024-02-11,memo,local://sample/D026
D027,Green venues measurement standard,"Green Venues Program standardized emissions calculation method. Learning: shared definitions improve comparability. Topic: sustainability metrics. Issue: inconsistent legacy measures.",Arts,2024-03-22,report,local://sample/D027
D028,Youth outreach inclusion pilot,"Youth Outreach Loop and Accessibility First Charter piloted inclusive recruitment. Learning: accessible sign-up forms increase participation. Topic: inclusive outreach. Issue: limited translated materials.",Community,2024-04-18,report,local://sample/D028
D029,Accessibility annual review,"Accessibility First Charter consolidated annual findings for leadership. Learning: evidence snapshots speed decision cycles. Topic: accessibility planning. Issue: missing historical links.",Education,2024-05-26,report,local://sample/D029
D030,Cross-division skills showcase,"Artist Upskilling Track and Youth Outreach Loop hosted cross-division showcase. Learning: shared showcases reveal transferable practices. Topic: cross-division learning. Issue: post-event filing backlog.",Arts,2025-01-31,report,local://sample/D030
